"initialPosition","initialVelocity","initialTariff","initialCapacity","initialRenewableGeneration","initialBatteryCapacity","initialBatteryCharge","initialFlexibleLoad","flexibilityAbove","flexibilityBelow"
"[32, 31, 28, 28, 26, 28, 29, 39, 55, 52, 58, 50, 51, 42, 45, 44, 47, 54, 54, 45, 45, 43, 42, 41]","[1, 1, 1, -1, 1, -1, -1, 0, 0, 0, -2, 1, -1, 2, 1, -1, 2, 2, 1, 0, -2, -2, -2, 1]","[34, 32, 42, 28, 30, 35, 19, 29, 44, 42, 16, 34, 34, 40, 35, 32, 16, 39, 28, 25, 45, 44, 33, 18]","[41, 38, 34, 40, 34, 36, 41, 49, 73, 62, 70, 60, 72, 56, 59, 59, 68, 69, 67, 55, 60, 61, 53, 56]","[12, 1, 4, 1, 8, 10, 10, 9, 1, 13, 5, 10, 8, 9, 5, 16, 8, 6, 11, 17, 9, 9, 14, 14]","[32, 33, 21, 25, 19, 26, 20, 44, 60, 55, 52, 56, 51, 50, 40, 47, 43, 57, 36, 38, 48, 42, 50, 50]","[6, 17, 18, 20, 7, 16, 0, 11, 51, 1, 33, 55, 32, 11, 23, 42, 14, 44, 13, 0, 25, 42, 21, 13]","[32, 30, 28, 27, 25, 26, 25, 32, 39, 46, 52, 49, 44, 39, 46, 45, 45, 53, 51, 48, 46, 43, 40, 35]","[36, 33, 31, 29, 27, 27, 28, 42, 50, 61, 65, 64, 55, 47, 60, 58, 59, 64, 58, 55, 51, 47, 44, 38]","[28, 27, 26, 25, 24, 25, 23, 21, 25, 29, 34, 35, 31, 26, 28, 27, 29, 37, 39, 40, 39, 38, 35, 32]"
"[9, 9, 10, 11, 9, 9, 10, 13, 14, 15, 15, 14, 12, 10, 11, 11, 10, 9, 10, 10, 8, 8, 9, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 39, 37, 24, 18, 37, 21, 40, 43, 32, 22, 16, 17, 41, 43, 17, 20, 19, 17, 15, 29, 28, 23, 33]","[11, 11, 14, 13, 11, 11, 14, 16, 19, 19, 20, 20, 16, 12, 14, 15, 12, 11, 13, 14, 10, 10, 11, 12]","[1, 4, 0, 0, 4, 1, 0, 5, 1, 3, 2, 1, 0, 0, 4, 2, 4, 1, 3, 3, 2, 2, 3, 3]","[7, 7, 7, 12, 9, 5, 8, 13, 16, 15, 13, 14, 12, 8, 8, 7, 8, 7, 9, 9, 6, 9, 9, 11]","[0, 1, 3, 12, 6, 5, 1, 6, 10, 10, 10, 11, 11, 2, 2, 0, 3, 1, 2, 6, 3, 6, 5, 11]","[9, 9, 10, 10, 9, 9, 11, 14, 16, 16, 16, 16, 12, 13, 14, 14, 13, 14, 15, 14, 10, 9, 10, 11]","[10, 10, 11, 11, 10, 10, 13, 22, 27, 29, 27, 28, 19, 23, 23, 21, 22, 23, 23, 20, 14, 12, 12, 13]","[8, 9, 9, 10, 9, 9, 8, 8, 7, 7, 7, 8, 6, 6, 7, 9, 7, 8, 9, 10, 8, 8, 9, 10]"
"[12, 11, 11, 11, 10, 10, 10, 11, 12, 14, 15, 14, 14, 14, 12, 12, 13, 17, 15, 13, 12, 13, 12, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]","[19, 15, 37, 16, 32, 44, 26, 30, 25, 39, 32, 15, 30, 31, 20, 44, 37, 45, 23, 19, 27, 37, 21, 42]","[16, 15, 13, 15, 14, 14, 13, 16, 14, 17, 20, 19, 17, 19, 16, 14, 15, 25, 19, 19, 17, 16, 16, 16]","[2, 2, 1, 1, 3, 2, 1, 1, 0, 3, 2, 2, 3, 1, 1, 4, 0, 1, 4, 2, 4, 4, 4, 0]","[9, 9, 8, 11, 11, 8, 9, 10, 7, 12, 13, 10, 15, 17, 10, 7, 12, 18, 15, 9, 13, 9, 14, 10]","[3, 9, 0, 6, 7, 6, 7, 4, 1, 2, 7, 5, 5, 15, 10, 3, 7, 5, 11, 3, 3, 7, 8, 4]","[11, 10, 10, 9, 9, 9, 9, 10, 11, 13, 13, 13, 11, 11, 11, 12, 13, 15, 15, 14, 13, 13, 11, 11]","[12, 11, 11, 10, 10, 10, 10, 12, 13, 15, 16, 14, 13, 13, 13, 14, 17, 20, 19, 19, 16, 15, 13, 13]","[9, 9, 8, 8, 8, 8, 8, 7, 8, 10, 11, 10, 8, 7, 7, 7, 8, 11, 11, 11, 12, 11, 10, 9]"
"[11, 11, 10, 10, 10, 11, 11, 12, 15, 16, 17, 16, 14, 14, 15, 15, 17, 21, 20, 17, 17, 16, 16, 15]","[0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 0, 1, 0, 1, 0, 1, 1, 0, -1, 0, 0]","[43, 25, 27, 24, 43, 40, 25, 31, 44, 36, 21, 25, 37, 44, 33, 31, 27, 38, 32, 41, 43, 36, 23, 34]","[15, 13, 13, 14, 12, 14, 14, 14, 18, 20, 23, 22, 18, 20, 18, 18, 21, 27, 25, 25, 24, 20, 20, 19]","[2, 2, 3, 1, 4, 4, 1, 2, 1, 4, 3, 1, 1, 4, 4, 3, 3, 6, 2, 5, 4, 6, 6, 2]","[13, 7, 11, 8, 7, 13, 10, 10, 12, 16, 21, 18, 10, 16, 17, 9, 17, 24, 17, 17, 13, 18, 14, 10]","[4, 6, 6, 5, 5, 9, 0, 3, 0, 9, 5, 4, 10, 14, 9, 8, 5, 22, 11, 8, 3, 9, 14, 1]","[11, 10, 10, 9, 9, 10, 10, 11, 14, 15, 16, 15, 13, 14, 14, 14, 14, 19, 19, 18, 18, 17, 15, 12]","[14, 13, 11, 10, 10, 11, 11, 16, 18, 19, 20, 18, 17, 18, 18, 19, 19, 23, 23, 22, 20, 19, 17, 14]","[10, 9, 9, 9, 8, 9, 8, 8, 9, 12, 12, 12, 9, 8, 8, 8, 8, 14, 14, 15, 14, 15, 14, 12]"
"[14, 13, 12, 13, 12, 13, 12, 10, 14, 13, 13, 15, 14, 14, 15, 15, 18, 22, 23, 22, 21, 20, 20, 18]","[0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, -1, 0, -1, 0, -1, -1, 0, 1, 0, 0, 0, 1]","[36, 45, 29, 37, 20, 28, 29, 23, 45, 38, 33, 42, 42, 43, 35, 36, 15, 35, 40, 22, 32, 19, 26, 41]","[18, 18, 15, 15, 17, 16, 17, 13, 20, 17, 18, 18, 18, 18, 21, 19, 24, 27, 28, 29, 26, 25, 27, 24]","[0, 3, 1, 4, 3, 2, 2, 1, 4, 0, 5, 4, 0, 2, 1, 1, 3, 6, 9, 7, 8, 8, 1, 7]","[16, 10, 11, 12, 8, 9, 14, 10, 13, 16, 11, 13, 15, 9, 12, 16, 18, 13, 24, 26, 14, 12, 18, 15]","[2, 7, 3, 2, 4, 8, 7, 2, 1, 3, 1, 9, 9, 2, 5, 16, 11, 10, 13, 23, 2, 2, 5, 6]","[9, 9, 8, 8, 8, 8, 7, 6, 8, 10, 12, 13, 12, 10, 10, 9, 10, 14, 16, 16, 16, 16, 13, 11]","[14, 14, 13, 12, 11, 11, 9, 7, 9, 14, 15, 16, 17, 15, 15, 13, 14, 17, 20, 21, 22, 21, 18, 16]","[8, 7, 7, 7, 6, 6, 6, 5, 7, 8, 9, 9, 9, 7, 7, 6, 8, 11, 12, 13, 14, 13, 11, 9]"
"[11, 10, 9, 9, 9, 10, 11, 11, 14, 15, 14, 17, 15, 17, 18, 19, 21, 25, 25, 22, 22, 23, 20, 19]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, 1, 1, 0, -1, 0, 1, -1, 1, 0]","[37, 25, 29, 23, 41, 26, 26, 23, 19, 22, 41, 44, 32, 26, 24, 24, 42, 34, 45, 23, 23, 23, 43, 22]","[14, 14, 12, 11, 11, 14, 13, 14, 17, 19, 19, 21, 18, 23, 24, 24, 28, 30, 30, 30, 31, 29, 25, 28]","[1, 1, 3, 1, 3, 1, 0, 1, 5, 5, 3, 2, 0, 1, 5, 5, 7, 10, 6, 2, 5, 6, 7, 6]","[13, 10, 11, 9, 6, 10, 9, 13, 13, 14, 10, 13, 9, 13, 23, 23, 27, 28, 22, 15, 23, 21, 16, 18]","[6, 6, 5, 2, 3, 10, 9, 5, 1, 0, 0, 10, 3, 0, 21, 5, 4, 3, 9, 15, 20, 5, 7, 3]","[12, 10, 10, 9, 9, 9, 10, 11, 13, 15, 18, 18, 15, 15, 15, 14, 16, 20, 21, 20, 19, 18, 16, 13]","[16, 14, 12, 10, 9, 10, 12, 12, 14, 18, 19, 20, 17, 16, 17, 17, 19, 23, 25, 21, 21, 19, 18, 16]","[10, 9, 9, 8, 8, 8, 8, 9, 11, 14, 16, 17, 13, 13, 13, 12, 14, 16, 17, 17, 18, 16, 15, 12]"
"[58, 49, 47, 46, 46, 47, 59, 63, 59, 54, 62, 62, 59, 68, 62, 60, 79, 105, 121, 107, 91, 91, 86, 80]","[1, 2, 1, 0, -2, -2, 2, -3, 1, -2, -2, 2, -1, -1, 3, -2, 0, 2, -5, -4, -1, 3, 3, 0]","[34, 25, 29, 41, 29, 31, 40, 45, 19, 25, 19, 28, 16, 45, 21, 43, 31, 18, 31, 30, 18, 30, 34, 38]","[81, 61, 65, 59, 59, 60, 78, 92, 78, 67, 87, 83, 72, 90, 77, 80, 107, 137, 158, 147, 119, 116, 125, 102]","[12, 8, 5, 11, 2, 10, 0, 23, 9, 1, 1, 5, 21, 6, 24, 3, 10, 32, 21, 37, 9, 14, 20, 5]","[69, 43, 51, 54, 33, 42, 73, 56, 46, 53, 79, 77, 50, 64, 48, 57, 101, 72, 109, 129, 96, 110, 121, 77]","[14, 12, 41, 30, 8, 2, 45, 9, 40, 50, 2, 75, 16, 52, 30, 21, 59, 53, 35, 127, 94, 80, 21, 76]","[60, 53, 49, 46, 46, 46, 52, 62, 65, 64, 69, 71, 62, 67, 62, 63, 74, 99, 109, 114, 105, 94, 82, 70]","[81, 69, 59, 52, 51, 50, 57, 79, 82, 74, 79, 83, 81, 85, 82, 78, 96, 127, 125, 130, 118, 102, 89, 84]","[51, 44, 42, 41, 42, 42, 49, 55, 54, 56, 63, 58, 54, 51, 47, 49, 59, 73, 83, 94, 90, 83, 74, 60]"
"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 3, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[41, 27, 35, 34, 44, 23, 23, 27, 41, 43, 43, 37, 34, 26, 38, 20, 39, 39, 33, 34, 31, 37, 28, 19]","[4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 5, 5, 3, 4, 4, 3]","[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 3, 2, 2]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 2, 1]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 3, 3, 3]","[4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 4, 4, 5, 5, 4, 4, 4]","[2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 3, 3, 3, 3, 3, 2]"
"[11, 8, 7, 8, 9, 10, 8, 10, 12, 12, 13, 14, 13, 13, 15, 12, 15, 21, 22, 20, 17, 16, 17, 17]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, -1, 0, 0]","[43, 35, 35, 27, 43, 32, 28, 22, 16, 29, 40, 18, 26, 15, 44, 17, 40, 31, 44, 37, 23, 21, 37, 30]","[14, 10, 10, 10, 12, 12, 11, 14, 14, 15, 18, 19, 19, 15, 20, 15, 22, 28, 28, 29, 24, 19, 22, 20]","[1, 1, 1, 1, 2, 4, 1, 1, 5, 1, 4, 5, 0, 4, 3, 5, 5, 2, 6, 4, 3, 3, 2, 0]","[7, 5, 5, 9, 6, 6, 9, 12, 7, 12, 16, 14, 14, 10, 17, 9, 12, 14, 20, 27, 16, 18, 19, 17]","[6, 5, 0, 2, 5, 0, 1, 0, 0, 10, 13, 4, 14, 7, 12, 3, 11, 4, 13, 21, 8, 0, 0, 7]","[13, 12, 10, 9, 11, 11, 9, 10, 11, 12, 13, 14, 13, 13, 12, 12, 14, 18, 20, 20, 20, 18, 17, 15]","[16, 14, 12, 11, 13, 13, 11, 12, 14, 14, 14, 16, 15, 16, 14, 15, 16, 22, 23, 23, 22, 20, 19, 17]","[10, 8, 8, 7, 9, 9, 7, 7, 8, 10, 12, 11, 10, 11, 10, 9, 10, 14, 15, 14, 14, 13, 12, 12]"
"[37, 31, 28, 27, 26, 37, 40, 41, 45, 61, 69, 73, 62, 52, 50, 53, 57, 63, 58, 55, 48, 50, 49, 46]","[1, 0, 0, -1, 1, 2, 2, 2, -1, -3, 2, -2, -2, 0, 0, 2, 1, 2, 0, 3, 0, -2, -1, -2]","[33, 25, 39, 40, 29, 43, 31, 24, 39, 27, 15, 31, 39, 19, 38, 29, 26, 21, 29, 39, 34, 15, 25, 20]","[53, 45, 34, 38, 38, 45, 59, 54, 60, 76, 85, 104, 75, 70, 69, 71, 81, 84, 75, 80, 69, 65, 69, 61]","[11, 1, 6, 7, 5, 13, 0, 1, 3, 19, 11, 13, 20, 17, 10, 3, 6, 1, 16, 9, 7, 4, 19, 13]","[43, 27, 23, 26, 27, 28, 35, 31, 54, 65, 84, 63, 66, 62, 43, 39, 45, 71, 46, 74, 57, 33, 54, 32]","[15, 12, 16, 22, 27, 23, 25, 31, 25, 48, 55, 46, 30, 4, 9, 39, 44, 44, 20, 5, 23, 32, 16, 2]","[37, 32, 29, 28, 28, 31, 34, 34, 40, 48, 56, 57, 46, 43, 45, 46, 56, 67, 65, 62, 59, 56, 50, 43]","[43, 39, 35, 31, 29, 34, 37, 39, 46, 56, 64, 65, 62, 53, 53, 57, 67, 85, 76, 72, 69, 67, 54, 47]","[32, 28, 27, 26, 27, 29, 30, 28, 29, 39, 48, 48, 35, 33, 31, 31, 40, 45, 47, 52, 50, 49, 44, 39]"
